sqft_living,sqft_lot,floors,sqft_above
1880,108900,1.0,1880
3070,4000,2.0,2070
2110,7560,2.0,2110
2350,8459,1.5,2350
3270,15160,1.0,1660
2220,4760,1.0,1320
5990,111078,2.0,5990
1760,9055,2.0,1760
2200,5207,1.0,1120
1550,7296,1.5,1550
5070,60123,2.0,5070
1040,1516,2.0,1040
2560,4000,1.5,1660
1850,8160,1.0,1850
2090,11895,1.0,1790
2010,2386,2.0,1390
2518,4663,2.0,2518
2810,12813,2.0,2040
2600,10092,1.0,2600
2060,8778,1.0,1160
2920,434728,2.0,2920
2130,10375,2.0,2130
2290,15600,1.0,1420
1230,6380,1.5,1230
2020,9478,1.0,2020
1430,7280,1.0,990
2270,1763,3.0,1820
1910,8058,2.0,1910
1780,214315,1.0,1780
2690,6124,2.0,2690
1330,7482,1.0,1330
3060,10043,1.0,1700
1760,1778,3.0,1760
1570,8750,1.0,1570
960,8100,1.0,810
1680,81893,1.0,1680
1440,33747,1.5,1440
1960,7000,1.0,1600
1790,2250,1.0,840
2560,9825,2.0,2560
1010,3060,1.0,1010
2560,5250,2.0,1900
1200,3136,1.0,800
3910,14000,2.0,3910
2260,12238,1.0,2260
2110,11319,2.0,2110
3340,10422,2.0,3340
1400,8100,1.5,1400
1760,94525,1.5,1760
2010,9725,2.0,2010
2300,3400,1.5,1550
2510,28185,1.0,1600
1340,3000,2.0,1340
1560,7245,1.5,1560
3350,9681,1.0,2140
3710,7984,2.0,3710
2430,5499,2.0,2430
2430,8820,1.0,1630
2100,7335,2.0,2100
1880,40575,1.0,1880
1630,2640,2.0,1630
1640,4200,1.5,1640
2310,7350,1.0,1670
1930,4500,1.0,1930
4750,13912,2.0,3600
2300,7500,1.0,1650
1050,2699,1.0,1050
1500,8015,1.0,1500
1150,7560,1.0,1150
1920,10403,1.0,1370
3660,150282,2.0,3660
1720,9342,1.0,1140
2100,20018,1.0,1470
2400,6078,2.0,2400
2540,40106,2.0,2540
2080,7200,1.0,1050
3400,7452,2.0,3400
2200,7600,2.0,2200
2140,8580,1.0,1200
3850,16249,2.0,3030
4270,6384,2.0,3060
1340,7210,1.0,1340
1100,3451,1.5,1100
2870,5349,2.0,2870
1320,8380,1.0,1320
2150,4505,1.0,1270
2470,6000,1.5,1480
1910,7700,1.0,1000
2130,6969,2.0,2130
2240,14667,2.0,2240
1800,4500,2.0,1680
2160,9000,1.0,1400
3140,8455,2.0,3140
1920,9812,2.0,1920
1050,7670,1.5,1050
3695,6556,2.0,3695
3910,8442,2.0,2710
3010,7427,2.0,3010
1370,9957,1.0,900
2080,9600,1.0,1240
2250,3757,2.0,2250
2120,8399,1.0,1320
2220,5185,2.0,2220
1440,4394,1.0,1440
910,7686,1.0,910
1270,4268,1.0,1270
2480,6180,2.0,2480
2630,9420,2.0,2510
2410,13300,2.0,1840
2930,25697,1.0,2310
1570,6810,1.0,1180
1900,8505,1.0,1200
2590,11250,1.0,1390
3810,7728,2.0,3810
2290,4203,2.0,2290
1220,2100,2.0,1220
1100,7373,1.0,1100
2810,10951,2.0,2810
890,7110,1.0,890
1280,14972,1.0,1280
2320,7140,2.0,2320
1720,7885,2.0,1720
1530,8800,1.0,1040
1580,7875,1.0,1580
1360,13000,1.0,1360
2680,15438,2.0,2680
1640,3896,2.0,1640
2520,6690,2.0,1700
1400,2421,2.0,1400
2300,12633,2.0,2300
1900,7680,1.0,1260
2000,18099,1.0,1250
900,5016,1.0,900
2980,4930,2.0,2890
1850,9126,1.0,1850
1570,4000,1.5,1570
670,3101,1.0,670
2660,10800,1.0,2660
2110,4038,2.0,2110
1970,54450,1.0,1570
1210,3600,1.5,1210
2670,11877,2.0,2670
3000,18450,1.0,3000
2200,3885,2.0,2200
1540,13002,1.0,1200
2080,11866,1.0,2080
1780,9732,1.0,1780
1960,2400,2.0,1330
1690,7725,1.5,1690
2080,12972,1.0,1250
2070,2833,2.0,1490
760,33801,1.0,760
4020,11588,2.0,4020
3620,10400,1.0,1820
2330,7778,1.0,1230
1460,8800,1.0,1460
2250,5700,1.0,1200
2850,6600,2.0,2850
2640,4000,2.0,1730
1310,9554,1.0,960
2720,7350,2.0,2720
3430,13609,2.0,3430
1990,19991,1.0,1340
1170,7258,1.0,1170
1390,8980,1.0,1390
1540,7300,2.0,1540
760,6141,1.0,760
1280,8316,1.0,1280
2990,5122,2.0,2990
1770,7778,2.0,1770
3830,8131,2.0,3830
2870,5490,2.0,2870
1520,8320,1.0,1520
660,6509,1.0,660
1800,5612,1.0,1200
3570,392475,1.0,2370
3050,2992,1.5,1920
820,3000,1.0,820
3610,26359,1.0,1950
1490,3072,1.0,770
1560,9361,1.5,1360
1660,9549,1.0,1660
1180,4080,1.0,760
960,10815,1.0,960
1630,16170,1.0,1630
2260,43847,2.0,2260
1520,7123,1.0,1520
3050,8904,1.0,1650
1000,4959,1.0,1000
2650,9451,2.0,2650
1750,15528,1.0,1270
1770,7667,1.0,1270
1770,7667,1.0,1270
770,7906,1.0,770
3370,7200,2.0,3370
2130,8412,1.0,1440
1050,8498,1.0,1050
2803,8550,1.0,2803
2080,12094,2.0,2080
2080,12094,2.0,2080
2120,4650,1.0,1190
2550,7709,2.0,2550
1290,12005,1.0,1290
1790,5000,1.5,1060
2720,7598,2.0,1860
1040,5000,1.5,1040
840,5200,1.0,840
1650,8850,1.0,1650
2080,15750,1.0,1460
1540,1994,2.0,1540
3880,7208,2.0,3880
1860,3766,2.0,1860
1280,10016,1.0,1280
3200,35012,1.5,2100
2200,7278,2.0,2200
1570,5510,1.0,1070
2074,4900,2.0,2074
2450,55387,2.0,2450
2520,10370,2.0,2520
2190,8250,1.0,1190
2190,8250,1.0,1190
2320,7500,1.0,2320
1370,9253,1.0,1090
1730,7200,1.5,1730
1640,6991,1.0,1110
1300,10236,1.0,1300
1560,7884,1.0,1060
1120,4284,1.0,730
2670,150270,2.0,2670
3810,15916,1.5,3810
1440,8560,1.0,1440
1200,43560,1.0,1200
1520,7700,1.0,820
2500,9654,1.0,1830
2010,19000,2.0,2010
1210,6000,1.5,1210
1100,27007,1.0,1100
1050,6615,1.0,800
2120,18335,1.0,1380
1240,8840,1.0,1240
3460,3997,2.0,2560
1270,4800,1.0,1270
2980,8051,1.5,2020
1250,3708,1.5,1250
1740,8800,1.0,1740
1730,7464,2.0,1730
1240,14404,1.0,1240
1670,14695,1.5,1670
2140,7095,2.0,2140
2530,7601,1.0,1520
960,8236,1.0,960
4130,12320,2.0,4130
1710,7724,1.0,1710
1490,8475,1.0,1490
4750,62365,2.0,4750
3400,35062,2.0,3400
2210,7620,2.0,2210
1650,8676,1.0,1130
1260,3135,1.0,780
1960,7955,1.0,1260
1800,7620,2.0,1800
1940,7482,1.0,1240
2820,8009,2.0,2820
2820,16770,1.0,1920
720,4120,1.0,720
1640,17583,1.0,1110
1560,4080,2.0,1560
1560,7144,1.0,1060
1910,8775,1.0,1210
1570,3000,2.0,1570
2038,7643,2.0,2038
1720,9435,1.0,1220
1670,3330,1.5,1670
2830,10240,2.0,2830
1690,8208,1.0,1210
1620,5280,2.0,1620
2360,43017,2.0,2360
1480,7117,1.0,1170
2700,4004,2.0,2700
1780,16000,1.0,1240
1430,7560,1.0,1430
2160,2192,1.0,1170
1800,9314,2.0,1800
1930,5520,1.0,1930
1960,14834,1.0,1330
1920,7345,2.0,1920
1470,8645,1.0,1470
2980,10064,1.0,1680
2980,10064,1.0,1680
2360,118483,1.0,2360
1790,87213,1.0,1790
2130,8801,1.0,1370
2030,4499,2.0,2030
1790,7800,1.0,1790
2260,8040,2.0,2260
2350,4815,1.5,1450
1690,1613,2.0,1150
1320,5750,1.5,1320
2690,32780,2.0,2690
2810,23400,1.0,1710
2280,213879,2.0,2280
2870,9292,2.0,2540
3030,30007,1.5,3030
2940,4232,2.0,2940
1190,4120,1.0,1190
1800,3253,2.0,1800
1580,9187,1.0,1180
1730,4408,2.0,1730
1910,9001,1.0,1910
1000,5100,1.0,940
2520,6964,1.0,1260
1420,8160,1.0,970
3080,5250,2.0,3080
1060,9126,1.0,1060
2160,9750,2.0,2160
4060,9486,2.0,4060
1940,2550,2.0,1100
2250,11349,2.0,2250
1620,9205,1.0,850
920,5850,1.0,920
1370,7247,2.0,1370
920,5200,1.0,920
1360,9625,1.0,1360
1630,11662,1.0,1630
3610,12033,2.0,3210
3010,9155,2.0,3010
2320,6400,1.0,1420
3290,14134,1.0,1870
2040,7580,2.0,2040
1920,7700,1.0,1320
2120,4512,2.0,2120
2170,5000,2.0,2170
1330,15873,1.0,900
1580,5080,1.0,800
3580,14217,2.0,2210
2580,4500,2.0,1850
1930,10210,1.5,1670
2120,4780,2.0,2120
1990,20466,1.5,1410
1310,9690,1.0,1310
2670,13218,1.0,2670
1910,108900,1.0,1010
1530,9000,1.0,1530
2920,5000,2.5,2780
1010,8108,1.0,1010
2450,13300,1.0,1630
1820,3899,2.0,1820
2090,8325,1.0,1470
2200,89298,1.0,1100
2250,7882,2.0,1570
1450,1387,3.0,1450
2280,8798,2.0,2280
2720,6781,2.0,2100
2250,8000,1.0,1460
1090,6090,1.0,940
1970,9600,1.0,1300
2780,15075,2.0,2780
2290,40946,1.0,1550
2330,12141,1.0,1390
4060,10800,2.0,4060
1470,7000,1.0,1470
1620,5400,1.0,920
3220,5934,2.0,3220
3270,9578,2.0,3270
2160,8565,1.0,1730
1150,6835,1.0,1010
2240,7540,1.0,1540
1280,5065,2.0,1280
840,6540,1.0,840
1680,10500,1.0,1680
2330,8000,1.0,1550
3030,29163,2.0,3030
2880,7560,2.0,2880
2910,3094,2.0,2010
3090,67518,2.0,3090
2720,54048,2.0,2720
1310,8100,1.0,1310
1790,15783,1.0,1360
2830,6536,2.0,2830
3150,5979,2.0,3150
3930,5500,2.0,2910
2840,8346,1.0,1420
2480,4400,1.5,1640
1930,6180,1.0,1330
1260,6826,1.0,720
670,23522,1.0,670
3930,12719,2.0,2540
3160,13063,2.0,3160
1770,12462,1.0,1770
2240,18265,2.0,2240
990,8062,1.0,990
1580,4698,2.0,1580
1560,4290,2.0,1560
2640,3680,2.0,1760
2120,6350,1.0,1440
1200,8750,1.0,1200
5040,17208,1.0,2870
1460,5825,1.0,1260
4890,13402,2.0,4890
1580,5250,1.0,1580
2100,43560,1.0,1330
2060,8640,1.0,2060
1690,4500,1.5,1690
3370,100681,1.0,1920
2330,3995,2.0,2330
1820,8118,1.0,1080
1890,11141,1.0,1890
3820,53574,1.0,3820
2770,98881,2.0,2770
3020,12750,2.0,3020
1170,8182,1.0,1170
1270,8400,1.0,1270
1950,6192,2.0,1950
2230,50094,1.0,1330
2220,22081,1.5,2220
2060,6400,1.0,1170
1100,4600,1.0,1100
1140,7208,1.0,900
1980,13503,1.0,1320
2480,10090,1.0,1300
1050,9083,1.0,1050
1260,7660,1.0,1260
1680,19978,1.0,880
1360,5900,1.5,1360
2450,12987,1.0,2030
2260,7040,2.0,2260
1060,6000,1.0,1060
3720,105850,2.0,3720
1610,8613,1.0,1610
3350,6605,2.0,2670
790,7500,1.0,790
1660,4000,1.0,990
1420,7480,1.0,1420
2050,40003,1.0,1570
1250,5546,1.0,1250
1700,8534,1.0,1700
2660,8469,2.0,2660
1350,7553,1.5,1350
1810,8750,1.0,1110
2210,13235,2.0,1730
2120,41325,1.0,1420
2470,11603,2.0,1540
2700,6515,2.0,2700
1760,4400,1.0,880
1930,6120,1.5,1930
1680,5043,1.5,1680
1390,8336,1.0,910
2240,8322,2.0,2240
1980,7991,1.5,1980
1830,5120,1.5,1830
980,6002,1.0,980
3550,6533,2.0,3550
1660,5665,1.0,920
2490,8750,2.0,2040
2329,9436,2.0,2329
1790,9580,2.0,1790
2830,6041,2.0,1840
1160,9750,1.0,1160
1000,10560,1.0,1000
2540,51836,1.0,1820
1750,19709,1.5,1440
2890,21780,2.0,2890
1870,3497,1.0,1200
2200,6967,2.0,2200
1300,7200,1.0,1300
3410,35536,2.0,2530
1160,7875,1.0,1160
2100,5000,1.5,2100
1490,8628,2.0,1490
3280,62726,1.5,3280
1450,8378,1.0,1450
1930,7120,1.0,1420
1660,10440,1.0,1040
1260,12330,1.0,1260
1170,11000,1.0,1170
3350,23781,1.0,2020
1420,2581,3.0,1420
2170,10018,1.0,1630
1800,8385,1.0,900
2000,7376,2.0,2000
1660,4800,1.0,960
1540,3740,1.0,770
1160,1086,2.0,890
1700,6356,1.5,1700
1580,20588,1.0,1580
2080,3920,2.0,2080
1030,7260,1.0,1030
1770,8050,1.0,1020
1540,7947,1.0,1120
2650,6000,2.0,2650
2690,9240,2.0,2690
2210,8430,2.0,2210
2390,6775,2.0,2390
2580,7865,1.0,1480
2160,5455,2.0,2160
2230,8624,1.0,1430
2000,5000,1.5,2000
1280,7198,1.0,1280
2810,17674,1.0,1640
1680,6758,1.0,1680
2150,8060,2.0,2150
2820,8159,2.0,2820
1750,9353,1.0,1210
1060,4000,1.0,1000
2430,20720,1.0,2430
2660,7754,1.5,1590
1670,3507,1.0,1670
1380,15426,1.0,1380
4160,35000,2.0,4160
1790,6191,2.0,1790
1940,8547,1.0,1460
1390,7200,1.0,1390
2200,21890,1.0,1200
1264,1536,2.0,1264
1095,5120,1.5,1095
850,6213,1.0,750
1760,5307,1.5,1170
690,6825,1.0,690
1400,7405,1.0,1400
1810,3000,2.0,1810
1310,4000,1.0,950
1400,10425,1.0,1400
2350,12720,1.0,1180
1150,8848,1.0,1150
1710,8100,1.5,1710
1660,10247,1.0,1130
1950,10080,1.0,1950
1780,9794,1.0,1780
2450,4668,2.0,2450
2060,10600,1.5,1560
1540,11858,1.0,1540
1650,13816,2.0,1650
1160,7854,1.0,1160
1440,15000,1.0,1440
2150,13789,1.0,1610
1060,6504,1.0,1060
2620,17919,1.0,2620
1630,9000,1.0,960
1840,9697,1.0,1500
820,4206,1.0,820
820,4206,1.0,820
2010,4195,2.0,2010
1990,5948,2.0,1990
2990,6145,2.0,2990
2540,4727,2.0,2540
1640,14374,1.0,1140
2500,11659,1.0,1490
4020,13515,2.0,4020
1500,8775,1.0,1390
1594,7665,1.0,1088
2130,4838,1.5,2130
1130,7920,1.0,1130
1690,9516,1.0,1690
1440,4046,1.0,960
3270,6027,2.0,3270
4350,112750,1.0,2200
1610,11201,1.0,1020
950,8000,1.0,950
1010,7200,1.0,1010
1420,11325,1.0,1420
1200,9720,1.0,1200
2020,8400,1.0,1010
3390,7950,2.0,3390
1700,3040,1.5,1460
3410,9088,2.0,2760
2030,13700,1.0,1630
2860,6867,1.0,1560
1690,4080,1.0,870
760,4746,1.0,760
1780,8085,1.0,1210
1550,6394,1.5,1550
4090,11225,2.0,4090
880,5600,1.0,880
1320,15236,1.0,880
950,4000,1.0,950
1390,7904,1.0,1390
1900,10225,1.0,1220
1392,43710,1.5,1392
3340,8930,2.0,3340
2750,14982,1.0,1720
1400,5662,1.5,1400
2220,15757,1.0,1280
1210,7740,1.5,1210
2390,11242,1.0,1290
1870,7344,1.5,1870
940,5000,1.0,810
1120,2685,1.0,860
1250,1103,3.0,1250
1060,9225,1.0,1060
2410,8960,1.0,1600
2844,3990,2.0,2844
2200,110642,1.0,1330
3460,5400,2.0,2830
1580,2199,2.0,1580
1520,5400,1.0,920
2260,19821,2.0,2260
1800,2970,1.0,1000
2650,11108,2.0,2650
1000,4171,1.0,1000
2300,8400,1.0,1150
1080,7000,1.0,1080
902,10464,1.0,902
730,7528,1.0,730
2600,41041,1.5,2600
1570,6700,1.0,1570
2876,13927,1.0,1970
2290,9546,1.0,1780
1470,2533,2.0,1470
2620,10137,2.0,1970
2680,28014,1.0,1450
2020,7767,1.0,2020
2100,4440,2.0,2100
1510,8250,1.0,1510
2850,19593,1.5,1790
4280,12796,2.0,3400
3238,9112,1.0,1678
2740,5925,2.0,2740
2020,9600,2.0,2020
1520,1500,3.0,1520
3860,42733,1.0,2300
1600,15312,1.0,1080
2090,5289,2.0,2090
4020,4500,2.0,3120
2910,10189,2.0,2910
900,9600,1.0,900
1720,5956,2.0,1720
3030,9430,2.0,2600
3030,10189,1.0,2380
2190,9400,1.0,1450
1680,5000,2.0,1680
1210,9926,1.0,1210
1120,7000,1.0,1120
3180,13348,2.0,3020
920,7500,1.0,920
700,8301,1.0,700
2540,7216,2.0,2540
2100,4560,1.5,2100
1540,24500,1.5,1540
1420,9828,1.0,1420
1450,10074,1.0,1450
1550,4057,1.0,830
1920,9672,2.0,1920
1920,9672,2.0,1920
2510,4543,2.0,2510
1660,4500,1.0,1660
3990,9786,2.0,3990
2350,5700,1.5,1810
1350,7827,1.0,1350
2980,9838,1.0,1710
6390,13180,2.0,4560
1590,10229,1.0,1590
1400,6650,1.5,1400
1880,100623,1.5,1880
3500,10260,2.0,3500
1370,5756,1.0,1370
2810,10433,2.0,2810
2220,6049,2.0,2220
2110,4549,2.0,2110
1720,17235,1.0,1440
1780,7245,1.0,1330
1410,8100,2.0,1410
2110,4000,1.0,1110
2700,8444,2.0,2700
2610,9409,1.0,2610
1660,8174,1.0,830
4570,16219,2.0,4570
3760,188760,1.0,2640
1610,3516,2.0,1610
1740,9370,1.0,1390
3530,218472,2.0,2380
840,12091,1.0,840
840,12091,1.0,840
1470,6061,1.5,1470
2470,5080,1.5,1970
2220,7230,1.0,1280
1720,4080,1.0,960
2700,9320,2.0,2700
950,11835,1.0,950
1790,8144,2.0,1790
1610,1728,3.0,1610
2290,6328,2.0,2290
2170,204296,1.0,2170
2100,4097,2.0,2100
2320,52272,1.5,2320
1120,6236,1.0,1120
1530,6000,2.0,1530
3490,9362,1.0,1770
1180,8353,1.0,1180
2050,3000,1.5,1470
2360,11340,1.5,2360
2570,7859,2.0,2570
1270,3700,1.5,1270
1250,7500,1.0,1250
2510,9900,1.0,1610
2690,4000,2.0,2120
2900,6918,2.0,2900
3830,11972,1.0,2370
1280,3876,1.5,1280
4350,6218,2.0,3520
1370,6250,1.5,1370
1230,1280,2.0,960
2440,34290,2.0,2440
4410,12426,2.0,3420
910,7617,1.0,910
910,7617,1.0,910
2150,7484,2.0,2150
2150,7484,2.0,2150
3190,11774,2.0,2610
2130,4496,2.0,2130
2740,9959,2.0,2740
3150,9318,2.0,3150
1450,1540,2.0,1180
2400,3500,1.5,1900
2280,7500,1.0,1140
2310,31850,1.5,2310
2460,8029,2.0,2460
4200,14353,2.0,3640
1620,4600,2.0,1620
2170,9525,1.0,2170
2880,7200,1.0,1710
3280,25211,2.0,3280
2900,11970,2.0,2900
2160,8809,1.0,1540
2250,4750,1.5,1420
1340,4800,1.5,1340
1390,10800,1.5,1390
1600,10160,1.0,1600
2050,8683,2.0,2050
2570,159865,1.0,2570
2660,10637,2.0,2660
1540,13475,1.0,1540
2640,3200,2.0,2140
1210,1032,2.0,1210
3760,29224,2.0,3760
1350,4286,1.0,1350
2600,9600,1.0,1810
3900,111514,2.0,3460
1340,8100,1.0,1340
1760,16928,1.0,1760
1840,4750,1.0,1010
2980,86636,1.0,2230
1730,3000,2.0,1730
1650,7800,1.0,1650
3370,36218,2.0,3370
2200,34680,2.0,2200
2180,3375,1.5,1420
1490,10844,1.0,1210
1530,762,2.0,1050
1180,7455,1.0,1180
2080,17532,2.0,2080
3200,22651,1.0,1610
1880,6160,2.0,1880
2510,5544,2.0,2510
1060,5200,1.0,1060
2130,12245,2.0,2130
1320,7280,1.0,1320
1040,5650,1.0,1040
1150,4500,1.5,1150
2120,3794,2.0,1420
2130,5000,1.5,1330
2340,8248,2.0,2340
2250,292288,1.0,2250
1890,3825,1.0,1290
1140,10152,1.0,760
2780,5467,2.0,2780
2390,6111,2.0,2390
2390,9000,1.0,1500
2680,8429,1.0,1880
1560,1222,2.0,1080
1130,8160,1.0,1130
1120,7500,1.0,1120
2050,9583,2.0,1770
2600,8075,1.5,2600
1050,572,2.0,740
2600,6600,2.0,1930
2811,7251,2.0,2811
4060,13000,2.0,4060
2260,7200,1.0,1130
4430,74358,2.0,4430
600,24501,1.0,600
2430,8327,1.0,1430
3420,25150,1.0,1750
1180,5100,1.5,1180
2010,7575,1.0,1220
1230,7789,1.0,1230
2750,6000,1.5,1750
1300,14197,1.0,860
1150,11475,1.0,1150
2220,132858,1.0,1110
2050,11690,2.0,2050
1700,5846,1.0,1700
1610,9000,1.0,1100
2720,3840,2.0,1790
2190,12690,1.0,1170
2730,6856,2.0,2730
2490,7589,2.0,2490
1510,4235,1.0,1510
4720,21000,3.0,4720
3810,217800,2.0,3810
1950,3730,2.0,1950
1300,6000,1.0,1300
1610,7200,1.0,1180
2040,5000,1.5,1180
700,4700,1.0,700
970,4700,1.0,720
910,6000,1.0,910
1060,9123,1.0,1060
2180,7200,2.0,2180
2050,9580,1.0,1400
750,4500,1.0,750
800,2296,1.0,800
3470,8000,1.5,2360
1390,48257,1.0,1390
900,4750,1.0,900
1050,9800,1.5,1050
2410,11900,1.0,1600
1180,9630,2.0,1180
1140,4200,2.0,1140
700,3400,1.0,700
2060,9719,1.0,1320
2230,11835,1.0,1630
1950,29347,1.0,1350
2100,5058,1.0,1340
2130,11733,1.0,1330
1880,3048,2.0,1880
2310,5526,2.0,2310
880,6050,1.0,880
5450,20412,2.0,5450
1290,1749,1.0,660
1010,7200,1.0,1010
1690,7680,1.0,890
1350,6315,1.0,1350
680,2400,1.0,680
2860,10702,2.0,2860
610,6000,1.0,610
2660,8887,1.0,1880
1390,5346,1.0,960
2290,6344,2.0,2290
2110,4118,2.0,2110
1200,2016,1.0,600
2360,2500,2.0,1520
2350,8906,2.0,2350
1590,9960,1.0,1060
1810,4592,2.0,1810
1900,11407,1.0,1900
1250,8000,1.0,1250
3280,6603,2.0,3280
870,4800,1.0,870
3570,14408,2.0,3570
3780,11200,2.0,3780
1190,3600,1.5,1190
2280,39848,2.0,2280
1030,60720,1.5,1030
2870,5000,1.5,1840
1520,8800,1.0,1520
3700,10375,2.0,3700
2240,28750,1.0,1620
1920,7738,1.0,1520
2560,3600,2.0,2110
1840,15496,2.0,1840
2080,9600,1.0,2080
1600,9638,1.0,1600
2168,4000,1.5,2168
860,8636,1.0,860
2100,3400,1.0,1100
1140,9639,1.0,1140
3090,35074,2.0,3090
1330,45738,2.0,1330
1360,69260,1.0,1360
3420,18129,2.0,2540
2180,6000,1.5,2060
1800,5000,2.0,1600
1120,4590,1.0,1120
2980,7202,2.0,2980
2600,28600,1.0,1810
1550,2400,1.5,1550
3330,15258,2.0,3330
2200,7719,2.0,2200
3840,85728,2.0,3840
840,4500,1.0,840
1270,7128,1.0,1270
3240,20301,2.0,3240
2480,37843,1.5,2480
4470,22518,2.0,3240
1780,7800,1.0,1060
1850,9248,2.0,1850
2200,16921,2.0,2200
2760,10160,1.0,2760
1090,4128,1.0,1090
3090,6200,2.0,3090
820,3700,1.0,820
1445,1606,2.0,1300
1810,9240,2.0,1810
1620,5000,1.0,920
1060,4182,2.0,1060
1050,9871,1.0,1050
1010,15701,1.0,1010
2050,8424,2.0,2050
970,8185,1.0,970
1540,1827,2.0,1540
3000,6222,2.0,3000
3190,7869,2.0,3190
1870,8190,1.0,1100
2200,9397,2.0,2200
3070,5936,2.0,3070
3730,17000,2.0,2820
2440,10423,1.0,2440
990,4332,1.0,990
4160,31796,2.0,4160
3670,4960,2.0,2870
910,25500,1.0,910
1940,4000,2.0,1940
1780,6000,2.0,1780
2200,7355,2.0,2200
6410,43838,2.5,5610
2070,10023,1.0,1220
2040,7281,1.0,1020
2320,6270,2.0,2320
1440,6677,1.0,870
1700,6675,2.0,1700
1700,6675,2.0,1700
2050,3933,1.0,1180
800,6500,1.0,800
1800,7620,1.0,1350
1460,169448,1.5,1460
1290,7210,1.0,1290
1900,9737,1.0,1200
1480,7000,1.0,1480
2090,12833,1.0,1220
1950,9800,1.0,1330
1250,9605,1.0,1250
990,7590,1.0,990
2740,7923,2.0,2740
1260,10488,1.0,1110
2150,6807,2.0,2150
1750,3250,1.5,1230
2880,6092,2.0,1920
2590,13894,2.0,2590
2430,4524,1.5,1830
1470,3128,2.0,1470
2020,10744,1.0,1270
610,4000,1.0,610
3000,17800,1.0,1500
920,43560,1.0,920
1070,7754,1.0,1070
3410,15143,2.0,3410
1820,3905,2.0,1820
1060,7193,1.0,1060
3070,34991,2.0,3070
2300,219106,1.0,1840
1610,6911,1.0,1260
2830,5310,2.0,2830
970,12300,1.0,970
1680,8284,2.0,1680
2040,8996,1.0,1260
1450,9586,2.0,1450
2870,6280,1.5,1980
1870,13970,1.0,1120
2490,18042,2.0,2490
3350,4501,2.0,2640
3190,8737,2.0,3190
1560,5520,1.0,780
2750,4800,2.0,1960
920,2332,1.0,920
1140,5500,1.0,1140
2520,53143,1.5,2520
3150,10542,1.0,1620
2040,7800,2.0,2040
1780,19843,1.0,1780
2240,10800,2.0,2240
3270,9650,1.0,2320
3110,6621,2.0,3110
1850,3600,2.0,1660
1570,8530,1.0,1190
750,4515,1.0,750
2240,9990,2.0,2240
1870,3485,2.0,1870
2683,40386,2.0,2683
1490,7200,1.0,1490
2340,12080,2.0,2340
1700,8640,1.0,850
1450,989,3.0,1450
3310,21096,2.0,3310
1520,5250,1.0,1520
1260,4500,1.5,1260
1840,8086,1.0,1840
1750,5202,1.0,1070
1450,32234,1.5,1450
6330,13296,2.0,4900
1260,10200,1.0,1020
2100,6613,2.0,2100
2430,5366,2.0,2430
4250,18000,2.0,3350
1830,10416,1.0,1370
1310,4000,1.0,1310
3090,9571,2.0,2370
2560,36601,2.0,2560
1930,13350,1.0,1930
1460,6000,1.0,1260
3460,13129,2.0,2560
3290,5880,2.0,2670
820,7680,1.5,820
1480,7374,1.0,760
1420,9301,1.0,1420
2790,6720,2.0,2790
1390,5000,1.0,970
950,9400,1.0,950
3000,5300,1.0,1780
1280,10521,1.5,1280
870,8400,1.0,870
1360,1795,2.0,1360
1000,16376,1.0,1000
2740,12106,1.0,1980
1560,5223,1.0,810
2590,8571,2.0,2590
1850,1330,2.5,1560
2500,8621,1.5,2500
3280,5232,2.0,3280
670,2378,1.0,670
2890,22547,1.0,2150
3000,10560,1.0,1500
1920,4600,2.0,1920
1960,7200,2.0,1960
2000,12208,1.0,1140
3600,6224,2.0,2610
2740,5700,2.0,2740
3650,5000,2.0,2530
2310,3866,2.0,2310
2095,4569,2.0,2095
1560,4823,1.0,1560
1880,7350,1.0,1390
840,867,2.0,840
2730,5832,2.0,2730
860,4800,1.0,860
2320,10960,1.0,1510
1540,61419,1.0,1540
890,6488,1.5,890
4290,175421,2.0,4290
1950,13227,2.0,1950
1010,8848,1.0,1010
2830,6536,2.0,2830
1500,12560,1.0,1000
3370,167706,1.0,3370
3160,8726,2.0,3160
1110,7000,1.5,1110
3830,48743,2.0,3830
3160,4270,2.0,2650
2100,3000,2.0,2100
2240,13288,1.0,2240
1060,48292,1.0,560
2350,36116,1.0,2350
1940,7040,2.0,1940
1160,64469,1.0,1160
1840,9990,2.0,1840
2260,11000,1.0,1620
840,3860,1.0,840
2830,7500,2.0,2460
1600,10183,1.0,1600
1370,8719,1.0,1370
1960,7414,1.0,1490
1470,7200,2.0,1470
2740,8426,1.0,1370
1090,923,2.0,1090
2460,9520,1.0,1680
1820,19602,1.0,1820
1960,8937,1.0,980
1760,7023,2.0,1760
720,5000,1.0,720
3470,8580,2.0,2500
1370,8100,1.0,1370
2370,11310,1.0,1550
1390,2640,1.5,1230
1840,3075,1.0,920
2790,19439,1.0,1500
1460,1607,2.0,1460
2620,241200,1.5,2620
2230,5109,1.5,1330
3250,2760,2.5,2420
1190,7000,1.0,1190
2090,7440,1.5,1290
2580,8154,1.0,2090
2100,3574,2.0,1690
3160,16564,2.0,3160
2090,7640,1.0,1360
1570,3143,2.0,1570
1020,6000,1.5,1020
1300,11080,1.0,1300
2110,9773,1.0,2110
1210,17389,1.0,1210
1990,12950,1.0,1850
1630,8018,1.0,1630
